depth,min,max,median,wmean
75.75,24103.7,24530.2,24333.4,24332.9
76,24106.3,24533.1,24336.5,24335.8
76.25,24109.4,24535.3,24339.5,24338.7
76.5,24113.1,24538.1,24342.4,24341.7
76.75,24116.2,24540.6,24345.4,24344.7
77,24118.8,24543.8,24348.5,24347.7
77.25,24122.3,24545.6,24351.2,24350.5
77.5,24124.7,24548,24354.1,24353.2
77.75,24126.5,24551.6,24356.6,24356
78,24129.9,24554.5,24359.2,24358.8
78.25,24132.7,24557.4,24361.6,24361.6
78.5,24136,24560.3,24364.4,24364.4
78.75,24138.3,24562.6,24367.1,24367.1
79,24141.1,24565.7,24370.2,24370.1
79.25,24142.9,24568.3,24373.1,24373
79.5,24144.9,24570.6,24375.9,24375.9
79.75,24148.3,24573.8,24379.2,24378.8
80,24150.7,24577.4,24382.1,24381.6
80.25,24154,24579.4,24384.8,24384.4
80.5,24156.7,24583.2,24388,24387.4
80.75,24159.1,24585.9,24391,24390.2
81,24161,24589,24393.5,24393
81.25,24163.8,24592.6,24396.3,24395.8
81.5,24166.4,24596.1,24398.9,24398.6
81.75,24169.5,24599.5,24401.7,24401.3
82,24172.1,24602.1,24404.7,24404.2
82.25,24174.6,24604,24407.5,24407.1
82.5,24176.8,24606.7,24410.6,24410
82.75,24180.4,24609.9,24413.6,24412.8
83,24183.4,24613,24416.6,24415.8
83.25,24186.4,24616.1,24419.4,24418.4
83.5,24189,24619.1,24422,24421.3
83.75,24191,24621,24424.6,24424
84,24193,24622.9,24427.7,24426.8
84.25,24196.6,24626.3,24430.4,24429.7
84.5,24200.1,24628.1,24433.1,24432.6
84.75,24202.4,24632.4,24436.4,24435.6
85,24205,24635.1,24439.4,24438.5
85.25,24208.3,24638.3,24442.2,24441.3
85.5,24209.7,24641,24444.7,24444
85.75,24212.4,24643.5,24447.6,24446.9
86,24215.4,24647.8,24450.6,24449.9
86.25,24218,24651.4,24453.7,24452.8
86.5,24222.9,24652.7,24456.4,24455.6
86.75,24225.5,24654.2,24459.3,24458.3
87,24228.6,24659,24462.1,24461.2
87.25,24232.7,24661.2,24465.3,24464.1
87.5,24236.1,24663.7,24468.2,24467
87.75,24238.9,24666.4,24470.9,24469.8
88,24241.7,24670.5,24474,24472.9
88.25,24244.6,24672.6,24477,24475.7
88.5,24247.4,24674.5,24479.9,24478.7
88.75,24248.7,24677.3,24482.8,24481.7
89,24252.6,24679.5,24485.7,24484.6
89.25,24256.8,24683.3,24488.4,24487.4
89.5,24259.7,24686.3,24490.8,24490.2
89.75,24262.6,24689.8,24493.8,24493.1
90,24267.1,24692.4,24496.7,24495.9
90.25,24269.4,24694.4,24499.4,24498.7
90.5,24270.5,24696.7,24502,24501.3
90.75,24273.5,24698.9,24504.5,24503.8
91,24277.5,24702.9,24507.4,24506.7
91.25,24279.4,24705.1,24510.3,24509.5
91.5,24282.4,24707.5,24513,24512.4
91.75,24285.3,24711.8,24516,24515.4
92,24289,24715.2,24518.6,24518.2
92.25,24291,24716,24521,24520.8
92.5,24293.4,24718.9,24523.6,24523.4
92.75,24296.4,24720.9,24526.8,24526.2
93,24299,24723,24529.1,24528.8
93.25,24303,24725.6,24531.7,24531.6
93.5,24306,24727.4,24534.8,24534.4
93.75,24307.9,24731.4,24537.9,24537.3
94,24310.5,24733.9,24541.1,24540.3
94.25,24313.2,24737.6,24544.4,24543.3
94.5,24316.5,24739.9,24547.1,24546
94.75,24320.2,24743.3,24550.2,24549.1
95,24322.4,24746.3,24553.2,24552
95.25,24326.1,24749.4,24555.9,24554.8
95.5,24329.2,24753.1,24558.6,24557.8
95.75,24333.6,24756,24561.1,24560.5
96,24336.7,24759.5,24563.8,24563.4
96.25,24339.4,24764,24566.5,24566.2
96.5,24342.8,24766.5,24569.1,24569.1
96.75,24344.9,24768.9,24572,24571.9
97,24347.9,24771.2,24575,24574.6
97.25,24350.3,24773.8,24577.4,24577.4
97.5,24352.9,24777.6,24580.5,24580.2
97.75,24356.2,24780.2,24583.1,24582.9
98,24358.2,24783.3,24586.1,24585.8
98.25,24363.1,24786.7,24588.8,24588.6
98.5,24366.4,24789.1,24591.9,24591.6
98.75,24368.9,24791.4,24594.8,24594.6
99,24372.4,24794.1,24597.8,24597.5
99.25,24375,24796.8,24600.8,24600.4
99.5,24376.9,24799.9,24603.6,24603.2
99.75,24380.5,24801.4,24606.2,24606
100,24382.4,24804.6,24609.1,24608.6
100.25,24384.8,24806.9,24612.1,24611.5
100.5,24388.3,24810.8,24614.9,24614.5
100.75,24391.8,24814.2,24617.7,24617.4
101,24393.9,24817.3,24620.9,24620.5
101.25,24397,24818.6,24623.8,24623.4
101.5,24400.7,24820.9,24626.5,24626.2
