depth,min,max,median,wmean
41.25,299.2,445.3,373.3,374.4
41.5,299.3,445.4,373.5,374.5
41.75,299.4,445.6,373.6,374.6
42,299.4,445.8,373.7,374.7
42.25,299.6,445.9,373.8,374.9
42.5,299.9,446,374,375
42.75,299.7,446,374,375.1
43,300.1,446.2,374.1,375.2
43.25,300.2,446.4,374.3,375.4
43.5,300.3,446.4,374.4,375.5
43.75,300.4,446.6,374.5,375.6
44,300.7,446.7,374.6,375.7
44.25,300.7,446.8,374.8,375.9
44.5,300.9,447,374.9,376
44.75,300.9,447.2,375,376.1
45,301.1,447.3,375.1,376.2
45.25,301.3,447.3,375.3,376.4
45.5,301.4,447.5,375.4,376.5
45.75,301.6,447.6,375.5,376.6
46,301.6,447.8,375.7,376.7
46.25,301.8,448,375.8,376.9
46.5,301.9,448,376,377
46.75,302.1,448.1,376.1,377.1
47,302.2,448.3,376.1,377.3
47.25,302.2,448.4,376.3,377.4
47.5,302.5,448.5,376.4,377.5
47.75,302.5,448.8,376.6,377.7
48,302.6,448.9,376.7,377.8
48.25,302.7,449,376.9,377.9
48.5,302.8,449.1,376.9,378
48.75,303,449.2,377.1,378.1
49,303.1,449.3,377.2,378.3
49.25,303.3,449.3,377.3,378.4
49.5,303.5,449.5,377.4,378.5
49.75,303.6,449.7,377.7,378.7
50,303.7,449.8,377.8,378.8
50.25,303.8,449.9,377.9,378.9
50.5,303.9,450.2,378,379
50.75,303.9,450.2,378.2,379.2
51,304,450.3,378.3,379.3
51.25,304.1,450.6,378.4,379.4
51.5,304.3,450.8,378.5,379.6
51.75,304.6,450.9,378.7,379.7
52,304.7,451,378.8,379.8
52.25,304.7,451.1,378.9,379.9
52.5,304.7,451.2,379,380.1
52.75,304.8,451.4,379.1,380.2
53,305,451.4,379.3,380.3
53.25,305.1,451.6,379.4,380.5
53.5,305.1,451.7,379.5,380.6
53.75,305.2,451.8,379.7,380.7
54,305.4,451.9,379.8,380.8
54.25,305.4,452.1,379.9,381
54.5,305.8,452.1,380.1,381.1
54.75,305.9,452.4,380.2,381.2
55,306,452.6,380.3,381.3
55.25,306.2,452.7,380.4,381.5
55.5,306.2,453,380.5,381.6
55.75,306.6,453.1,380.6,381.7
56,306.7,453.2,380.8,381.9
