lake,SampleID,TopDepth,BotDepth,Type,Material,Measurement,MeasurementError,Age,AgeError,CalibratedAge,CalAgeStD,CalAgeLCI,CalAgeUCI,LabID,Conf,Used
DU15,DU15_sh_19_20,5.25,5.75,Pb210,bulk sediment,3.151275824,0.219943473,NA,NA,-25.41122263,2.029224109,-29.38850188,-21.43394337,Flett-75940,,Used
DU15,DU15_sh_21_24,5.75,6.75,Pb210,bulk sediment,2.840175779,0.203398765,NA,NA,-21.96408639,2.191914853,-26.2602395,-17.66793328,Flett-75941,,Used
DU15,DU15_sh_29_32,7.75,8.75,Pb210,bulk sediment,2.978878613,0.253127639,NA,NA,-5.864592603,2.861649097,-11.47342483,-0.255760373,Flett-75943,,Used
DU15,DU15_sh_37_40,9.75,10.75,Pb210,bulk sediment,2.724296731,0.250922063,NA,NA,18.72005153,4.038923325,10.80376181,26.63634124,Flett-75945,,Used
DU15,DU15_sh_45_48,11.75,12.75,Pb210,bulk sediment,2.105253676,0.204200358,NA,NA,54.83264748,7.774380245,39.5948622,70.07043276,Flett-75947,,Unused
DU15,DU15_sh_53_56,13.75,15,Pb210,bulk sediment,1.437881384,0.202993359,NA,NA,NA,NA,NA,NA,Flett-75949,,Unused
DU15,DU15_sh_9_10,2.5,3.25,Ra226,bulk sediment,1.25947697,0.039998277,NA,NA,NA,NA,NA,NA,Flett-75935,,Unused
DU15,DU15_sh_53_56,13.75,15,Ra226,bulk sediment,1.323201832,0.039956698,NA,NA,NA,NA,NA,NA,Flett-75949,,Unused
MA15,MA15_sh 62,15.25,15.5,C14,wood macrofossil,0.96266792,0.003115363,305,30,387,,303,458,CAMS-176005,17,Used
MA15,MA15_sh_62,15.25,15.5,C14,bulk sediment,0.487701246,0.001758943,5770,30,6574,,6497,6646,CAMS-176591,,Unused
MA15,MA15_sh 86-88,21.25,22,C14,wood macrofossil,0.983292844,0.005043531,135,45,136,,10,276,CAMS-176006,,Used
MA15,MA15_sh 267,66.5,66.75,C14,wood macrofossil,0.95949143,0.00347442,330,30,387,,311,476,CAMS-176007,,Used
MA15,MA15_sh_1_2,0,0.5,Pb210,bulk sediment,19.29964514,0.582240227,NA,NA,-65,1.078977901,-67.11479669,-62.88520331,Flett-77259,,Used
MA15,MA15_sh_3_4,0.5,1,Pb210,bulk sediment,19.47205861,0.627458955,NA,NA,-55.21293205,1.20567922,-57.57606332,-52.84980078,Flett-77260,,Used
MA15,MA15_sh_5_6,1,1.5,Pb210,bulk sediment,14.07517627,0.490945429,NA,NA,-41.47831875,1.464666346,-44.34906479,-38.60757272,Flett-77261,,Used
MA15,MA15_sh_7_8,1.5,2,Pb210,bulk sediment,9.806494848,0.386495269,NA,NA,-25.47986075,1.943142697,-29.28842044,-21.67130107,Flett-77262,,Used
MA15,MA15_sh_9_10,2,2.5,Pb210,bulk sediment,6.549400879,0.367688223,NA,NA,-9.179441373,2.740513802,-14.55084843,-3.808034322,Flett-77263,,Used
MA15,MA15_sh_11_12,2.5,3,Pb210,bulk sediment,4.723268747,0.281765655,NA,NA,7.99177325,3.925597418,0.297602311,15.68594419,Flett-77264,,Used
MA15,MA15_sh_13_14,3,3.5,Pb210,bulk sediment,2.728615757,0.196795176,NA,NA,26.18387386,5.907353453,14.60546109,37.76228663,Flett-77265,,Used
